"Locus"	"allele"	"count"	"frequency"
"Olur10"	"214"	13	0.0656565656565657
"Olur10"	"217"	1	0.00505050505050505
"Olur10"	"220"	1	0.00505050505050505
"Olur10"	"226"	1	0.00505050505050505
"Olur10"	"229"	1	0.00505050505050505
"Olur10"	"232"	5	0.0252525252525253
"Olur10"	"235"	1	0.00505050505050505
"Olur10"	"238"	9	0.0454545454545455
"Olur10"	"241"	5	0.0252525252525253
"Olur10"	"244"	4	0.0202020202020202
"Olur10"	"247"	2	0.0101010101010101
"Olur10"	"250"	27	0.136363636363636
"Olur10"	"253"	3	0.0151515151515152
"Olur10"	"256"	5	0.0252525252525253
"Olur10"	"265"	3	0.0151515151515152
"Olur10"	"268"	3	0.0151515151515152
"Olur10"	"271"	1	0.00505050505050505
"Olur10"	"274"	17	0.0858585858585859
"Olur10"	"277"	9	0.0454545454545455
"Olur10"	"280"	10	0.0505050505050505
"Olur10"	"283"	5	0.0252525252525253
"Olur10"	"286"	12	0.0606060606060606
"Olur10"	"289"	10	0.0505050505050505
"Olur10"	"292"	17	0.0858585858585859
"Olur10"	"295"	24	0.121212121212121
"Olur10"	"298"	2	0.0101010101010101
"Olur10"	"301"	2	0.0101010101010101
"Olur10"	"307"	2	0.0101010101010101
"Olur10"	"313"	2	0.0101010101010101
"Olur10"	"319"	1	0.00505050505050505
"Olur11"	"138"	5	0.0252525252525253
"Olur11"	"141"	39	0.196969696969697
"Olur11"	"144"	41	0.207070707070707
"Olur11"	"153"	6	0.0303030303030303
"Olur11"	"156"	10	0.0505050505050505
"Olur11"	"159"	3	0.0151515151515152
"Olur11"	"162"	81	0.409090909090909
"Olur11"	"165"	6	0.0303030303030303
"Olur11"	"168"	1	0.00505050505050505
"Olur11"	"171"	3	0.0151515151515152
"Olur11"	"174"	1	0.00505050505050505
"Olur11"	"180"	1	0.00505050505050505
"Olur11"	"183"	1	0.00505050505050505
"Olur12"	"179"	48	0.244897959183673
"Olur12"	"182"	9	0.0459183673469388
"Olur12"	"242"	1	0.00510204081632653
"Olur12"	"245"	3	0.0153061224489796
"Olur12"	"248"	4	0.0204081632653061
"Olur12"	"251"	3	0.0153061224489796
"Olur12"	"254"	32	0.163265306122449
"Olur12"	"257"	6	0.0306122448979592
"Olur12"	"260"	12	0.0612244897959184
"Olur12"	"263"	14	0.0714285714285714
"Olur12"	"266"	50	0.255102040816327
"Olur12"	"269"	12	0.0612244897959184
"Olur12"	"272"	1	0.00510204081632653
"Olur12"	"281"	1	0.00510204081632653
"Olur13"	"239"	19	0.095
"Olur13"	"243"	6	0.03
"Olur13"	"247"	11	0.055
"Olur13"	"251"	5	0.025
"Olur13"	"255"	7	0.035
"Olur13"	"259"	13	0.065
"Olur13"	"263"	13	0.065
"Olur13"	"267"	13	0.065
"Olur13"	"271"	8	0.04
"Olur13"	"275"	8	0.04
"Olur13"	"279"	5	0.025
"Olur13"	"283"	21	0.105
"Olur13"	"287"	16	0.08
"Olur13"	"291"	26	0.13
"Olur13"	"295"	10	0.05
"Olur13"	"299"	11	0.055
"Olur13"	"303"	5	0.025
"Olur13"	"307"	3	0.015
"Olur15"	"157"	19	0.095
"Olur15"	"161"	6	0.03
"Olur15"	"165"	11	0.055
"Olur15"	"169"	5	0.025
"Olur15"	"173"	7	0.035
"Olur15"	"177"	13	0.065
"Olur15"	"181"	13	0.065
"Olur15"	"185"	13	0.065
"Olur15"	"189"	8	0.04
"Olur15"	"193"	8	0.04
"Olur15"	"197"	5	0.025
"Olur15"	"201"	21	0.105
"Olur15"	"205"	16	0.08
"Olur15"	"209"	26	0.13
"Olur15"	"213"	10	0.05
"Olur15"	"217"	11	0.055
"Olur15"	"221"	5	0.025
"Olur15"	"225"	3	0.015
"Olur17"	"180"	1	0.005
"Olur17"	"192"	1	0.005
"Olur17"	"196"	29	0.145
"Olur17"	"200"	2	0.01
